"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"ATP5F1A",0.724,0.313286954571939,0.448,0.555880064778637,0.998,0.912,"5","ATP5F1A"
"MINOS1",0.724,0.359226469501138,0.448,0.709992266712542,0.982,0.803,"5","MINOS1"
"CCT6A",0.723,0.362348787105677,0.446,0.70321994679949,0.982,0.827,"5","CCT6A"
"HSPA8",0.722,0.38197383645501,0.444,0.610524591894408,1,0.912,"5","HSPA8"
"HMGN3",0.722,0.353946656082927,0.444,0.66209587328906,1,0.866,"5","HMGN3"
"CBX3",0.721,0.338079453835634,0.442,0.581496221071562,1,0.933,"5","CBX3"
"HNRNPA11",0.72,0.271331406887473,0.44,0.408686118140435,1,0.992,"5","HNRNPA1"
"CCT7",0.72,0.356725961970476,0.44,0.718432524512507,0.973,0.795,"5","CCT7"
"ATP5MC1",0.719,0.350533116248382,0.438,0.65551768394009,0.992,0.827,"5","ATP5MC1"
"CYCS",0.719,0.368886183861797,0.438,0.663599697989296,0.998,0.83,"5","CYCS"
"HMGN1",0.718,0.288879658672868,0.436,0.47385878188445,1,0.969,"5","HMGN1"
"DCTPP1",0.718,0.359440461341774,0.436,0.814219840699977,0.959,0.636,"5","DCTPP1"
"EIF4EBP1",0.718,0.370578157244742,0.436,0.811488539036392,0.961,0.651,"5","EIF4EBP1"
"ANP32B",0.717,0.323173241153892,0.434,0.546182103069731,1,0.934,"5","ANP32B"
"RIF1",0.717,0.328804239939023,0.434,0.955563570040683,0.856,0.504,"5","RIF1"
"ACTB1",0.716,0.238306906956848,0.432,0.351833242848509,1,0.996,"5","ACTB"
"ITGA2B",0.715,0.413045288051251,0.43,1.43980293607894,0.616,0.202,"5","ITGA2B"
"CENPH",0.715,0.339934588888831,0.43,1.51934008399916,0.665,0.26,"5","CENPH"
"CENPK",0.715,0.357158319108582,0.43,1.51450107298665,0.663,0.254,"5","CENPK"
"UBE2T",0.715,0.358281038040556,0.43,1.3684681622729,0.694,0.283,"5","UBE2T"
"USP1",0.714,0.359452581428821,0.428,1.02624156118539,0.844,0.496,"5","USP1"
"COPS3",0.713,0.335981130861123,0.426,0.856345808434968,0.922,0.593,"5","COPS3"
"ABCC4",0.713,0.390189875113151,0.426,1.44678198905737,0.669,0.267,"5","ABCC4"
"PRDX4",0.713,0.342626566216857,0.426,0.792158833973307,0.965,0.677,"5","PRDX4"
"IDH2",0.712,0.352831803322393,0.424,0.752840147582593,0.957,0.743,"5","IDH2"
"PSMA3",0.712,0.344029535618821,0.424,0.687407770908817,0.979,0.814,"5","PSMA3"
"CCT2",0.712,0.336854197875972,0.424,0.633814297281004,0.994,0.848,"5","CCT2"
"DSCC1",0.712,0.336349504077774,0.424,1.91213388913252,0.591,0.189,"5","DSCC1"
"LIG1",0.711,0.321920725243761,0.422,2.04170288788118,0.565,0.166,"5","LIG1"
"HACD1",0.711,0.327762830736314,0.422,0.799640439152125,0.92,0.625,"5","HACD1"
"RFC2",0.711,0.313861292201767,0.422,1.17607913888143,0.76,0.364,"5","RFC2"
"UQCRQ",0.711,0.314757444973579,0.422,0.554957051816111,1,0.905,"5","UQCRQ"
"SRSF3",0.71,0.268603796462956,0.42,0.449006244569101,1,0.931,"5","SRSF3"
"SLC1A5",0.709,0.329672336959294,0.418,1.22782974521675,0.747,0.359,"5","SLC1A5"
"SNRPG",0.709,0.320474453250275,0.418,0.547623587969137,1,0.916,"5","SNRPG"
"DTL",0.709,0.333267790098536,0.418,2.34667785479847,0.53,0.134,"5","DTL"
