"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"SAT1",0.93,1.39367851078078,0.86,2.69322613745615,0.98,0.617,"8","SAT1"
"ZFAS11",0.919,1.04147343216057,0.838,1.66111108718178,0.997,0.962,"8","ZFAS1"
"H3F3B",0.909,1.07643191981131,0.818,1.63789622089222,1,0.994,"8","H3F3B"
"ELF1",0.907,0.997447115662552,0.814,1.89632264681178,0.98,0.776,"8","ELF1"
"EMP3",0.888,1.27567848312465,0.776,2.13814691218495,0.98,0.877,"8","EMP3"
"MMADHC",0.886,0.924315236227174,0.772,1.84394218403279,0.963,0.769,"8","MMADHC"
"SRSF11",0.875,0.942618574880283,0.75,1.73178011517688,0.983,0.835,"8","SRSF11"
"EIF1",0.871,0.740778626664722,0.742,1.13654035415952,0.997,0.993,"8","EIF1"
"UBE2D3",0.869,0.805339443253223,0.738,1.39518407431435,0.989,0.919,"8","UBE2D3"
"C11orf58",0.868,0.768042163264013,0.736,1.34281426184758,0.986,0.918,"8","C11orf58"
"TXNIP",0.868,1.26033352929049,0.736,2.87143249959247,0.892,0.39,"8","TXNIP"
"EIF5",0.866,1.01179312965731,0.732,1.90566472582547,0.963,0.783,"8","EIF5"
"VAPA",0.863,0.758218834347026,0.726,1.38923261124761,0.986,0.868,"8","VAPA"
"SLC3A2",0.863,1.23460482364203,0.726,2.75550745206673,0.892,0.524,"8","SLC3A2"
"SEPT7",0.862,0.703501124910543,0.724,1.2277382828769,0.991,0.919,"8","SEPT7"
"PPIG",0.861,0.886661965371713,0.722,1.7430982174534,0.969,0.773,"8","PPIG"
"TERF2IP",0.856,0.80285591552159,0.712,1.6759422017017,0.943,0.725,"8","TERF2IP"
"PPP1R15A",0.853,1.20497098410176,0.706,2.82673481481912,0.872,0.42,"8","PPP1R15A"
"SNHG15",0.853,1.2164993775226,0.706,2.58205600494166,0.884,0.605,"8","SNHG15"
"MRPL42",0.849,0.817652685832855,0.698,1.81213191728836,0.929,0.65,"8","MRPL42"
"CCAR1",0.849,0.83629385445096,0.698,2.03688097086094,0.903,0.53,"8","CCAR1"
"SDCBP",0.849,0.807874985288943,0.698,1.6691014751892,0.963,0.708,"8","SDCBP"
"CRBN",0.849,0.890986626775404,0.698,1.96661950130045,0.926,0.62,"8","CRBN"
"MRPS18C",0.847,0.824335098747244,0.694,1.78811539906099,0.918,0.677,"8","MRPS18C"
"TAOK3",0.845,0.718390024583465,0.69,1.36843890325376,0.986,0.819,"8","TAOK3"
"PCNP",0.845,0.718253994500972,0.69,1.42502475792902,0.969,0.787,"8","PCNP"
"SNHG12",0.845,1.11873193960385,0.69,3.54221610004049,0.776,0.23,"8","SNHG12"
"RBM39",0.843,0.924177744004051,0.686,1.61831176500411,0.977,0.9,"8","RBM39"
"NT5C3A",0.84,0.867997652849868,0.68,2.0534090587212,0.898,0.538,"8","NT5C3A"
"YAF2",0.839,1.10527357868493,0.678,2.93116819876988,0.81,0.384,"8","YAF2"
"RSF1",0.837,0.815223362854703,0.674,1.91920460165394,0.912,0.58,"8","RSF1"
"SQSTM1",0.834,1.0960700433541,0.668,2.23640147259209,0.906,0.657,"8","SQSTM1"
"BLOC1S2",0.833,0.768066731595031,0.666,1.92772776285399,0.889,0.531,"8","BLOC1S2"
"SREK1",0.831,0.851631860872178,0.662,2.03707213037586,0.872,0.55,"8","SREK1"
"CAPZA2",0.829,0.700693515125905,0.658,1.29076307513625,0.974,0.868,"8","CAPZA2"
"PAIP2",0.829,0.676345410098736,0.658,1.26635619423884,0.977,0.871,"8","PAIP2"
"UBE2B",0.829,0.848153337324171,0.658,1.88988476206121,0.909,0.642,"8","UBE2B"
"SCFD1",0.827,0.783845025393396,0.654,2.1174325124695,0.849,0.469,"8","SCFD1"
"FNTA",0.827,0.7373152294404,0.654,1.80749696941052,0.892,0.584,"8","FNTA"
"CHIC2",0.827,0.882304388400895,0.654,2.67745935118048,0.795,0.329,"8","CHIC2"
"RSRC2",0.826,1.25273491637296,0.652,2.41647886772778,0.892,0.71,"8","RSRC2"
"CIR1",0.824,0.791019688178078,0.648,2.07002660895185,0.858,0.458,"8","CIR1"
"C6orf48",0.818,0.690619925060381,0.636,1.20715831157437,0.983,0.899,"8","C6orf48"
"SUB1",0.818,0.563330874686859,0.636,0.911827303576233,1,0.959,"8","SUB1"
"PFDN4",0.817,0.627735940047746,0.634,1.39497409294914,0.938,0.692,"8","PFDN4"
"CLK1",0.817,0.99640428842481,0.634,2.53773599656346,0.807,0.385,"8","CLK1"
"MOB4",0.817,0.808242644692782,0.634,2.13392471891285,0.832,0.483,"8","MOB4"
"RAB5A",0.816,0.923104548433363,0.632,2.68893822435626,0.784,0.346,"8","RAB5A"
"OAZ1",0.812,0.438410371985754,0.624,0.687313203062735,1,0.986,"8","OAZ1"
"SBDS",0.812,0.740899828196569,0.624,1.80935957803196,0.869,0.553,"8","SBDS"
"SEC62",0.812,0.7073767910946,0.624,1.33184957244734,0.974,0.867,"8","SEC62"
"BBX",0.812,0.65305203136893,0.624,1.62192898097635,0.901,0.571,"8","BBX"
"IFRD1",0.811,0.828325750600847,0.622,2.48638986201946,0.784,0.352,"8","IFRD1"
"BRD2",0.811,0.782738372791735,0.622,2.07085650859748,0.841,0.472,"8","BRD2"
"KTN1",0.81,0.689097447335709,0.62,1.2830987709772,0.952,0.864,"8","KTN1"
"SLU7",0.809,0.698047173905852,0.618,2.01527426140485,0.827,0.406,"8","SLU7"
"NEAT1",0.808,0.958162142521671,0.616,1.7121450267068,0.943,0.765,"8","NEAT1"
"UBXN4",0.808,0.621312772815245,0.616,1.29467913597235,0.943,0.77,"8","UBXN4"
"RBX1",0.806,0.60338812762995,0.612,1.0621033123321,0.974,0.903,"8","RBX1"
"AIMP1",0.805,0.72838049965536,0.61,1.59548365272975,0.909,0.682,"8","AIMP1"
"SON",0.803,0.654220768526596,0.606,1.20207815527481,0.977,0.883,"8","SON"
"RPS27L",0.801,0.967948219106594,0.602,1.53714917241451,0.977,0.95,"8","RPS27L"
"MRPL22",0.8,0.6487700672149,0.6,1.59797306499824,0.881,0.608,"8","MRPL22"
"ZNF326",0.8,0.893033153217484,0.6,2.29407685265109,0.801,0.463,"8","ZNF326"
"GGNBP2",0.799,0.772368904299149,0.598,1.94403750363721,0.832,0.517,"8","GGNBP2"
"SNX2",0.799,0.644145041272718,0.598,1.57237185399959,0.875,0.585,"8","SNX2"
"MARCH7",0.799,0.796039041776456,0.598,2.14121456086748,0.81,0.448,"8","MARCH7"
"SNHG81",0.798,0.713341230670408,0.596,1.28287048324314,0.96,0.879,"8","SNHG8"
"YIPF4",0.798,0.724285807059752,0.596,1.81699554011418,0.847,0.546,"8","YIPF4"
"ING3",0.797,0.72754221653836,0.594,2.38499918216062,0.75,0.31,"8","ING3"
"PPIL4",0.796,0.695638580640007,0.592,2.03964121793857,0.804,0.416,"8","PPIL4"
"PRPF40A",0.796,0.662986965330945,0.592,1.34305940051579,0.952,0.759,"8","PRPF40A"
"SNW1",0.795,0.666201698456177,0.59,1.58890360090402,0.875,0.614,"8","SNW1"
"UBE2V2",0.795,0.658066451985398,0.59,1.44804609842141,0.898,0.682,"8","UBE2V2"
"CSNK1A1",0.795,0.599907062739021,0.59,1.26686589968813,0.923,0.754,"8","CSNK1A1"
"SH3GLB1",0.795,0.655603990723337,0.59,1.57927515714289,0.889,0.612,"8","SH3GLB1"
"GADD45A",0.795,0.851152180179277,0.59,2.52395222628424,0.756,0.326,"8","GADD45A"
"KIF5B",0.794,0.685997501122417,0.588,1.60092482654337,0.884,0.619,"8","KIF5B"
"COPS5",0.794,0.686579201142922,0.588,1.7481016151522,0.838,0.569,"8","COPS5"
"RBM8A",0.794,0.636426791394382,0.588,1.16471044625605,0.972,0.858,"8","RBM8A"
"PAFAH1B1",0.793,0.712689274934405,0.586,2.20100928375291,0.77,0.368,"8","PAFAH1B1"
"DDIT3",0.793,0.862179748174489,0.586,3.60808665671654,0.656,0.12,"8","DDIT3"
"PPP1R12A",0.792,0.657640876825773,0.584,1.61948732392218,0.861,0.57,"8","PPP1R12A"
"RNF114",0.791,0.685464640072322,0.582,2.05503355061084,0.784,0.408,"8","RNF114"
"PPP2R2A",0.791,0.643144231794497,0.582,1.81411329067564,0.824,0.464,"8","PPP2R2A"
"AKIRIN2",0.789,0.745343733043182,0.578,2.38113992943181,0.753,0.294,"8","AKIRIN2"
"PPP2CA",0.789,0.714625772286227,0.578,1.59488709987258,0.875,0.666,"8","PPP2CA"
"RAD23A",0.788,0.581215443512737,0.576,1.21766992906276,0.943,0.76,"8","RAD23A"
"SEC61G",0.788,0.578275026911537,0.576,0.999456020723558,0.974,0.921,"8","SEC61G"
"ZFR",0.788,0.678365799208528,0.576,1.81653238054623,0.821,0.508,"8","ZFR"
"PRPF38B",0.787,0.781672321261851,0.574,1.64224031712874,0.886,0.715,"8","PRPF38B"
"MRPL39",0.786,0.646459750603624,0.572,2.19374626727384,0.747,0.339,"8","MRPL39"
"PSMC6",0.786,0.640147324028004,0.572,1.4238390290492,0.889,0.697,"8","PSMC6"
"IK",0.786,0.634196421952778,0.572,1.52182196295128,0.872,0.618,"8","IK"
"CIRBP",0.785,0.789549617301883,0.57,1.41957114280553,0.957,0.891,"8","CIRBP"
"STK17A",0.785,0.766028501558018,0.57,2.60680201213026,0.719,0.268,"8","STK17A"
"CCNG11",0.785,0.662377768712965,0.57,1.28914360626308,0.935,0.779,"8","CCNG1"
"FIP1L1",0.785,0.680926547817724,0.57,1.93572379106288,0.79,0.453,"8","FIP1L1"
"MRPL47",0.784,0.675487814688829,0.568,1.57233442630027,0.869,0.631,"8","MRPL47"
"HHEX",0.783,0.765400154525819,0.566,1.61417389342979,0.892,0.691,"8","HHEX"
"ANAPC16",0.783,0.573186620901029,0.566,1.13302817194134,0.943,0.832,"8","ANAPC16"
"RCHY1",0.782,0.648303347952597,0.564,2.19113507129092,0.741,0.316,"8","RCHY1"
"OCIAD1",0.782,0.651216815037009,0.564,1.38263492265212,0.909,0.746,"8","OCIAD1"
"LUC7L2",0.781,0.637023919534677,0.562,1.73570092979715,0.815,0.496,"8","LUC7L2"
"PSMD6",0.781,0.672709443795127,0.562,1.62884277953765,0.858,0.591,"8","PSMD6"
"WDR33",0.781,0.695362295518983,0.562,1.924880136718,0.798,0.463,"8","WDR33"
"UPF3B",0.78,0.636718062795782,0.56,1.72477358568318,0.812,0.495,"8","UPF3B"
"LSM14A",0.779,0.615007629711145,0.558,1.48901543539209,0.852,0.617,"8","LSM14A"
"PSMA42",0.779,0.481790020475617,0.558,0.812643187635098,0.989,0.936,"8","PSMA4"
"MITD1",0.779,0.807177736594945,0.558,2.08090442481217,0.79,0.492,"8","MITD1"
"AKIRIN1",0.779,0.639158234809749,0.558,1.90389464761154,0.784,0.415,"8","AKIRIN1"
"ZFAND6",0.778,0.571471122566679,0.556,1.33180967658267,0.898,0.661,"8","ZFAND6"
"EAPP",0.778,0.564974181174898,0.556,1.4788192868174,0.852,0.55,"8","EAPP"
"ZCCHC10",0.778,0.614606275927269,0.556,1.72587590005985,0.815,0.471,"8","ZCCHC10"
"RAP1A",0.778,0.633095780244978,0.556,1.49426406641285,0.872,0.625,"8","RAP1A"
"SNHG71",0.777,0.696400113948373,0.554,1.47655113774141,0.884,0.642,"8","SNHG7"
"TMEM59",0.777,0.477515093349749,0.554,0.899126777447946,0.986,0.895,"8","TMEM59"
"KRT10",0.776,0.556004626424056,0.552,1.24347785635425,0.909,0.703,"8","KRT10"
"PHIP",0.775,0.666633097208879,0.55,1.60492450799459,0.841,0.59,"8","PHIP"
"NGLY1",0.773,0.548773372362306,0.546,1.58657269443189,0.81,0.479,"8","NGLY1"
"SDHD",0.772,0.560353225984238,0.544,1.3213937652424,0.889,0.653,"8","SDHD"
"TATDN1",0.772,0.632296246309317,0.544,1.70150542523967,0.812,0.501,"8","TATDN1"
"ASF1A",0.772,0.706451160606641,0.544,2.1563907580796,0.739,0.368,"8","ASF1A"
"TXNDC9",0.772,0.607793692795353,0.544,1.64049630646553,0.812,0.529,"8","TXNDC9"
"DUSP12",0.772,0.663257875709311,0.544,2.46413578402891,0.693,0.273,"8","DUSP12"
"LIMD2",0.771,0.608387115872558,0.542,1.19632635474743,0.938,0.78,"8","LIMD2"
"HIKESHI",0.771,0.610381854826465,0.542,1.46999366864548,0.864,0.631,"8","HIKESHI"
"FRG1",0.771,0.533699544890089,0.542,1.17516348968431,0.926,0.714,"8","FRG1"
"COPS4",0.771,0.628848950638978,0.542,1.59720910891831,0.83,0.582,"8","COPS4"
"EPB41L4A-AS1",0.77,0.594099931377226,0.54,1.53795419675205,0.821,0.517,"8","EPB41L4A-AS1"
"YPEL5",0.77,0.616750773070516,0.54,1.82087928010822,0.781,0.379,"8","YPEL5"
"BUD31",0.769,0.624091329746953,0.538,1.46504286334933,0.884,0.626,"8","BUD31"
"CLK4",0.769,0.740310724224984,0.538,2.83149889275141,0.656,0.199,"8","CLK4"
"TFDP2",0.769,0.670915228376942,0.538,1.41083344507819,0.898,0.723,"8","TFDP2"
"BTG1",0.768,0.676847376279574,0.536,1.52324799373794,0.872,0.582,"8","BTG1"
"ZC3H13",0.767,0.587440263993724,0.534,1.40787646092444,0.844,0.617,"8","ZC3H13"
"TSG101",0.767,0.66407803557783,0.534,1.78771341460353,0.784,0.512,"8","TSG101"
"NOSIP",0.766,0.512736598562459,0.532,1.37834022013354,0.844,0.569,"8","NOSIP"
"HNRNPH3",0.766,0.606274383645596,0.532,1.26510317160701,0.92,0.729,"8","HNRNPH3"
"SYF2",0.766,0.519035198490696,0.532,1.06831801120562,0.946,0.8,"8","SYF2"
"TAF1D",0.765,0.858978149366592,0.53,1.7117704646552,0.886,0.747,"8","TAF1D"
"WSB1",0.764,0.544222687095609,0.528,1.25223741067415,0.889,0.642,"8","WSB1"
"ZMYM5",0.764,0.678932633109635,0.528,2.69445797694811,0.653,0.2,"8","ZMYM5"
"CISD2",0.763,0.613603064925842,0.526,1.38482442521758,0.869,0.664,"8","CISD2"
"ARHGAP15",0.763,0.588338118019414,0.526,1.40034330236668,0.852,0.622,"8","ARHGAP15"
"BCAS2",0.763,0.604705207057808,0.526,1.68163698833502,0.784,0.515,"8","BCAS2"
"RIOK3",0.762,0.67591531968237,0.524,2.48556695095547,0.668,0.247,"8","RIOK3"
"FBXO22",0.762,0.597428834300675,0.524,1.90009271018303,0.739,0.395,"8","FBXO22"
"DYNC1LI1",0.762,0.636572034210744,0.524,2.04577645552316,0.73,0.375,"8","DYNC1LI1"
"ITSN2",0.762,0.586527811479531,0.524,1.55661565405145,0.827,0.529,"8","ITSN2"
"DRG1",0.761,0.546561115552049,0.522,1.61200356841947,0.795,0.48,"8","DRG1"
"ATAD1",0.761,0.555944978163104,0.522,2.01418215337977,0.713,0.302,"8","ATAD1"
"LEPROTL1",0.761,0.579717560183799,0.522,1.44077874050012,0.852,0.603,"8","LEPROTL1"
"ATG3",0.761,0.567533524183928,0.522,1.44933422300031,0.83,0.581,"8","ATG3"
"YWHAE1",0.76,0.41827598490494,0.52,0.704719290568302,0.986,0.944,"8","YWHAE"
"HNRNPK1",0.76,0.440060708426071,0.52,0.728626727246572,0.991,0.955,"8","HNRNPK"
"ROCK1",0.759,0.597901523362564,0.518,1.46420003026914,0.835,0.612,"8","ROCK1"
"TRA2B",0.759,0.826998622192907,0.518,1.57438943257574,0.901,0.781,"8","TRA2B"
"CCDC174",0.759,0.613650182689001,0.518,2.07171946338576,0.71,0.32,"8","CCDC174"
"EIF3J",0.758,0.547014068714684,0.516,1.04790230851334,0.955,0.811,"8","EIF3J"
"MRPS18B",0.758,0.501027319073969,0.516,1.29611136461625,0.844,0.587,"8","MRPS18B"
"RHOH",0.758,0.596750742620992,0.516,1.84717468373209,0.75,0.398,"8","RHOH"
"ZNF638",0.758,0.587178047156478,0.516,1.52164403088527,0.835,0.532,"8","ZNF638"
"TRIAP1",0.757,0.620125130365434,0.514,1.51739993163807,0.83,0.582,"8","TRIAP1"
"USP15",0.757,0.604521213166711,0.514,1.37217061136118,0.858,0.652,"8","USP15"
"AKAP9",0.757,0.595155706418321,0.514,1.39849233935891,0.841,0.618,"8","AKAP9"
"XPC",0.757,0.612449711028867,0.514,1.96127348168028,0.719,0.344,"8","XPC"
"ACADM",0.757,0.529565148616236,0.514,1.26817794356722,0.886,0.642,"8","ACADM"
"CHD9",0.756,0.612823748105759,0.512,1.36983744204757,0.858,0.677,"8","CHD9"
"RAP1B",0.756,0.512312679385249,0.512,0.962915548120969,0.96,0.847,"8","RAP1B"
"KRCC1",0.756,0.675198344025594,0.512,1.83135968137389,0.764,0.47,"8","KRCC1"
"CDKN2C1",0.756,0.760292629160447,0.512,3.07608828221791,0.622,0.177,"8","CDKN2C"
"ATRX",0.755,0.495345667197814,0.51,1.04270711005586,0.923,0.767,"8","ATRX"
"MED10",0.755,0.546271103909931,0.51,1.58444577233548,0.776,0.485,"8","MED10"
"SARNP",0.754,0.629334871182856,0.508,2.50796308273576,0.645,0.228,"8","SARNP"
"ETFRF1",0.754,0.541578258796595,0.508,1.57536868927963,0.79,0.468,"8","ETFRF1"
"ETS2",0.753,0.57336261075231,0.506,1.18941342925813,0.906,0.731,"8","ETS2"
"ARL14EP",0.753,0.651035888975285,0.506,1.92525696318564,0.733,0.42,"8","ARL14EP"
"PTP4A1",0.753,0.644342585817877,0.506,1.88006207525022,0.756,0.432,"8","PTP4A1"
"MRPS10",0.753,0.574844976363089,0.506,1.54663833554422,0.81,0.529,"8","MRPS10"
"HIST1H2AC",0.753,1.03201984580289,0.506,3.06873330326104,0.634,0.177,"8","HIST1H2AC"
"NMD3",0.753,0.538626781093733,0.506,1.67495326255429,0.761,0.428,"8","NMD3"
"BBC3",0.752,0.563814721947463,0.504,2.92038637191889,0.574,0.103,"8","BBC3"
"TMEM126A",0.752,0.533963367207405,0.504,1.4448142219947,0.818,0.543,"8","TMEM126A"
"DR1",0.752,0.587024513123735,0.504,1.73541093661751,0.761,0.452,"8","DR1"
"TXNL1",0.751,0.537451579351384,0.502,1.13132339630977,0.923,0.762,"8","TXNL1"
"CCNDBP1",0.751,0.500865661120537,0.502,1.24825819161612,0.852,0.6,"8","CCNDBP1"
"PAPOLA",0.751,0.50074989674605,0.502,1.05713845794813,0.929,0.776,"8","PAPOLA"
"CDC5L",0.751,0.528804255254808,0.502,1.45437355579141,0.793,0.512,"8","CDC5L"
"UBE2D2",0.751,0.478537306804506,0.502,0.958087444341067,0.946,0.825,"8","UBE2D2"
"CMTM6",0.751,0.540797236589015,0.502,1.18176477283569,0.889,0.702,"8","CMTM6"
"DGUOK",0.751,0.531229420770494,0.502,1.20343619231833,0.869,0.703,"8","DGUOK"
"PPM1D",0.75,0.545303527196547,0.5,2.98395923113587,0.582,0.119,"8","PPM1D"
"EPC1",0.75,0.601296818839094,0.5,1.69731077029775,0.764,0.459,"8","EPC1"
"EIF4E",0.75,0.529747448939662,0.5,1.10095570840066,0.912,0.761,"8","EIF4E"
"RASSF1",0.75,0.609758698907817,0.5,1.99596029915511,0.713,0.36,"8","RASSF1"
"LMNA",0.75,0.654346805966446,0.5,2.10552930097857,0.665,0.224,"8","LMNA"
"KRR1",0.749,0.530677493891714,0.498,1.51551449354982,0.787,0.493,"8","KRR1"
"OGA",0.749,0.55648772080351,0.498,1.69369050473132,0.741,0.39,"8","OGA"
"UBE2E1",0.748,0.490082437099817,0.496,1.16301700414172,0.884,0.673,"8","UBE2E1"
"AKAP8L",0.747,0.606301437783682,0.494,2.37387253117449,0.639,0.241,"8","AKAP8L"
"COX7B2",0.747,0.430739572544159,0.494,0.72843021350407,0.974,0.937,"8","COX7B"
"CCNH",0.747,0.518560824729116,0.494,1.56890708688318,0.764,0.449,"8","CCNH"
"BTG2",0.747,0.594220970507679,0.494,2.10709134922735,0.659,0.222,"8","BTG2"
"TIPRL",0.747,0.558711125594553,0.494,1.46095850609463,0.804,0.578,"8","TIPRL"
"LUC7L",0.746,0.613229068345237,0.492,2.19038080563962,0.668,0.31,"8","LUC7L"
"PHF20L1",0.746,0.570697571916029,0.492,1.69403421586287,0.747,0.436,"8","PHF20L1"
"HBP1",0.746,0.611255651506986,0.492,2.22791314120234,0.651,0.223,"8","HBP1"
"NIPBL",0.746,0.563478490842076,0.492,1.64308853351712,0.753,0.453,"8","NIPBL"
"ATP2C1",0.745,0.547412323798553,0.49,1.5115120345836,0.784,0.499,"8","ATP2C1"
"PRKRA",0.745,0.532944345246339,0.49,1.47885872826212,0.793,0.518,"8","PRKRA"
"HIF1A",0.744,0.594274383201352,0.488,1.9761090783335,0.693,0.342,"8","HIF1A"
"WASHC4",0.744,0.6503229720973,0.488,2.0419727326424,0.713,0.333,"8","WASHC4"
"UBA3",0.744,0.556613049749578,0.488,1.68560535910701,0.747,0.426,"8","UBA3"
"GNAI3",0.744,0.516978935686286,0.488,1.37388673365406,0.821,0.569,"8","GNAI3"
"GABARAPL2",0.743,0.465671631024825,0.486,0.953710948157219,0.92,0.821,"8","GABARAPL2"
"TMEM87A",0.743,0.498530608784679,0.486,1.71061779650354,0.713,0.355,"8","TMEM87A"
"RAB14",0.743,0.509145229979321,0.486,1.34747985927811,0.81,0.564,"8","RAB14"
"PPP1R2",0.742,0.527567988628894,0.484,1.58587017648324,0.759,0.451,"8","PPP1R2"
"ALAS1",0.742,0.627577822362576,0.484,2.84610745901387,0.591,0.172,"8","ALAS1"
"TANK",0.742,0.712422795165553,0.484,1.91744841715648,0.739,0.428,"8","TANK"
"TRAPPC6B",0.741,0.551739439035995,0.482,2.30260509595815,0.625,0.222,"8","TRAPPC6B"
"SCAF11",0.741,0.482220548550922,0.482,0.981008171889757,0.935,0.811,"8","SCAF11"
"CHMP5",0.741,0.529094171774902,0.482,1.23754520921611,0.864,0.663,"8","CHMP5"
"MRPL13",0.741,0.49137077601765,0.482,1.11157237613685,0.872,0.696,"8","MRPL13"
"SF3B1",0.741,0.483828702339,0.482,1.07099346790488,0.895,0.726,"8","SF3B1"
"ATP6V0B",0.741,0.492957347764807,0.482,0.946098045805762,0.929,0.827,"8","ATP6V0B"
"PSMD11",0.74,0.548733547101562,0.48,1.38255550570681,0.798,0.592,"8","PSMD11"
"EXOSC81",0.74,0.529444772663009,0.48,1.40446783591402,0.807,0.515,"8","EXOSC8"
"TBC1D15",0.74,0.565450395780464,0.48,1.9149470031416,0.688,0.321,"8","TBC1D15"
"CCDC90B",0.74,0.538048635205919,0.48,1.46658623780022,0.784,0.539,"8","CCDC90B"
"TAX1BP1",0.74,0.551538600865878,0.48,1.30621560945395,0.844,0.642,"8","TAX1BP1"
"MEF2C",0.74,0.512977158101505,0.48,1.04782506065563,0.915,0.707,"8","MEF2C"
"RNF181",0.74,0.522965463843211,0.48,1.20360621753158,0.866,0.683,"8","RNF181"
"SRSF4",0.74,0.529173709393415,0.48,1.28832428651125,0.824,0.633,"8","SRSF4"
"PRKAR1A",0.739,0.54141636900885,0.478,1.46907649616228,0.784,0.524,"8","PRKAR1A"
"MRPS35",0.739,0.479116966749746,0.478,1.27666492438784,0.821,0.574,"8","MRPS35"
"SMC3",0.739,0.499644439928186,0.478,1.13017775915745,0.872,0.686,"8","SMC3"
"TMEM242",0.739,0.545286928899114,0.478,2.03494435316952,0.662,0.316,"8","TMEM242"
"GNA151",0.738,0.64256655828768,0.476,1.38251578429617,0.861,0.679,"8","GNA15"
"PLEKHF2",0.738,0.513770127733807,0.476,2.06175200666526,0.642,0.251,"8","PLEKHF2"
"VBP1",0.738,0.458477415326251,0.476,1.04505184457209,0.898,0.699,"8","VBP1"
"CCDC59",0.737,0.585405554859186,0.474,1.65017438055097,0.75,0.485,"8","CCDC59"
"OCIAD2",0.737,0.594291484616134,0.474,1.45244475937742,0.824,0.602,"8","OCIAD2"
"PDRG1",0.736,0.625923359361062,0.472,2.42889441553604,0.619,0.255,"8","PDRG1"
"OPTN1",0.736,0.539440072052246,0.472,1.8524388588079,0.688,0.311,"8","OPTN"
"COPB1",0.736,0.527515873591238,0.472,1.36237126730215,0.801,0.564,"8","COPB1"
"SARAF",0.736,0.420302038592165,0.472,0.792006585947207,0.955,0.893,"8","SARAF"
"NDUFB5",0.736,0.457241041884686,0.472,0.949136649566283,0.918,0.805,"8","NDUFB5"
"DTWD1",0.735,0.480999901286982,0.47,1.59436189515688,0.722,0.383,"8","DTWD1"
"BAZ1A",0.735,0.685730661338153,0.47,1.54675324278532,0.821,0.636,"8","BAZ1A"
"ABI1",0.735,0.534104556502637,0.47,1.65838678786773,0.722,0.415,"8","ABI1"
"COX19",0.735,0.502545374409217,0.47,2.04745140799661,0.636,0.271,"8","COX19"
"CHD1",0.735,0.529525468623096,0.47,1.48234843515565,0.778,0.505,"8","CHD1"
"RAB10",0.735,0.462008111131047,0.47,1.12046702187146,0.844,0.661,"8","RAB10"
"TCEA1",0.734,0.410538565419241,0.468,0.838099163589381,0.946,0.813,"8","TCEA1"
"CCDC28A",0.734,0.49520785799472,0.468,1.65881601401057,0.705,0.365,"8","CCDC28A"
"ZNF644",0.734,0.511216089584303,0.468,1.60076168413783,0.727,0.416,"8","ZNF644"
"EMC7",0.733,0.454984976853029,0.466,1.33295169807076,0.767,0.512,"8","EMC7"
"FGFR1OP2",0.733,0.439387134725399,0.466,1.058814719153,0.889,0.654,"8","FGFR1OP2"
"DNAJC1",0.733,0.499119082496259,0.466,1.51510283966031,0.747,0.438,"8","DNAJC1"
"EIF4G2",0.733,0.482529198900343,0.466,0.946287176277929,0.957,0.813,"8","EIF4G2"
"BAZ2B",0.733,0.533852125327906,0.466,1.77591721430095,0.685,0.31,"8","BAZ2B"
"SMIM26",0.732,0.452390045323004,0.464,0.992894844048763,0.912,0.758,"8","SMIM26"
"TEX30",0.732,0.571457029112472,0.464,1.36972851820472,0.83,0.584,"8","TEX30"
"RNF6",0.732,0.508473793277057,0.464,2.14924468874812,0.614,0.237,"8","RNF6"
"COQ5",0.732,0.505636549090853,0.464,1.8776929065015,0.665,0.325,"8","COQ5"
"RNF146",0.732,0.505237169894547,0.464,2.19297292826759,0.611,0.221,"8","RNF146"
"SKIL",0.732,0.931010837742226,0.464,3.19352363789928,0.585,0.183,"8","SKIL"
"CWC22",0.732,0.535729548674799,0.464,1.99955345635683,0.648,0.292,"8","CWC22"
"NFU1",0.732,0.552599013451482,0.464,1.71776444275611,0.713,0.434,"8","NFU1"
"TROVE2",0.732,0.472891761793145,0.464,1.29212439568703,0.795,0.548,"8","TROVE2"
"PNRC2",0.732,0.538135747136432,0.464,1.25678437682355,0.832,0.659,"8","PNRC2"
"NSRP1",0.731,0.536503373775187,0.462,1.47546218952843,0.756,0.497,"8","NSRP1"
"AEN",0.731,0.597536273796644,0.462,3.0348884486871,0.548,0.139,"8","AEN"
"SOCS2",0.731,0.525852618963559,0.462,1.04623646500006,0.915,0.76,"8","SOCS2"
"NBDY",0.731,0.420188279396857,0.462,0.935608015279931,0.906,0.75,"8","NBDY"
"RALB",0.731,0.514914673033489,0.462,1.68227027119442,0.713,0.388,"8","RALB"
"UQCRFS1",0.73,0.453876234066414,0.46,0.903552051429993,0.92,0.811,"8","UQCRFS1"
"MDM2",0.73,0.69053876350864,0.46,2.3991135411995,0.619,0.253,"8","MDM2"
"NDUFS4",0.73,0.490109852547886,0.46,1.0961319214049,0.869,0.73,"8","NDUFS4"
"YTHDC1",0.73,0.506577695121599,0.46,1.29815647650462,0.81,0.585,"8","YTHDC1"
"NCK1",0.73,0.486998209933897,0.46,1.5373538223256,0.733,0.436,"8","NCK1"
"USE1",0.729,0.511603398528847,0.458,1.5954700733551,0.716,0.426,"8","USE1"
"ADK",0.729,0.498430049115524,0.458,1.38631762798453,0.787,0.526,"8","ADK"
